id,product_name,category,price
1,Minimalist Card Wallet,Fashion accessories,6163.826
2,Wireless Earphones Pro,Electronic accessories,14248.04
3,Sakura Face Serum,Health and beauty,4398.308
4,Matcha Green Tea Pack,Food and beverages,2865.0950000000003
5,Eco Yoga Mat Japan Edition,Sports and travel,6551.001
6,Modern Desk Clock,Home and lifestyle,4831.944
7,Kyoto Silk Scarf,Fashion accessories,5745.677000000001
8,Fast Wireless Charger,Electronic accessories,3964.6720000000005
9,Rice Bran Shampoo,Health and beauty,2625.0465
10,Premium Japanese Coffee,Food and beverages,2199.154
11,Outdoor Trek Backpack,Sports and travel,10825.413
12,Aromatherapy Candle Set,Home and lifestyle,4553.178
13,UV Protection Sunglasses,Fashion accessories,8177.1359999999995
14,Smart Fitness Watch,Electronic accessories,20984.885000000002
15,Hydrating Face Cream,Health and beauty,3670.419
16,Hokkaido Dark Chocolate,Food and beverages,1626.135
17,Stretch Band Set,Sports and travel,3314.218
18,Ceramic Flower Vase,Home and lifestyle,5699.215999999999
19,Winter Knit Beanie,Fashion accessories,2973.504
20,Portable Power Bank,Electronic accessories,6502.991300000001
21,Charm Wrist Bracelet,Fashion accessories,3763.3410000000003
22,USB-C Fast Cable,Electronic accessories,1781.005
23,Aloe Skin Gel,Health and beauty,2338.537
24,Sparkling Yuzu Water,Food and beverages,603.993
25,Camping Dome Tent,Sports and travel,24004.850000000002
26,Soft Home Cushion,Home and lifestyle,3190.322
27,Genuine Leather Belt,Fashion accessories,6620.6925
28,High-Fidelity Headphones,Electronic accessories,32521.1513
29,Moisturizing Lip Balm Set,Health and beauty,2075.2580000000003
30,Natural Honey Jar,Food and beverages,1904.901
31,Lightweight Running Shoes,Sports and travel,12157.295
32,Ceramic Plant Pot,Home and lifestyle,4179.9412999999995
33,Tokyo Style Sunglasses,Fashion accessories,9044.408
34,Adjustable Tablet Stand,Electronic accessories,4878.405
35,Foam Facial Cleanser,Health and beauty,3236.783
36,Healthy Granola Mix,Food and beverages,1099.577
37,Travel Support Pillow,Sports and travel,2516.6375000000003
38,LED Desk Lamp,Home and lifestyle,7309.8640000000005
39,Premium Silk Tie,Fashion accessories,5017.788
40,Compact Bluetooth Speaker,Electronic accessories,9725.836
41,Handmade Bead Necklace,Fashion accessories,4584.152
42,Precision Gaming Mouse,Electronic accessories,8239.084
43,Essential Oil Aroma Set,Health and beauty,5854.085999999999
44,Soy Protein Powder,Food and beverages,7433.76
45,Cycling Safety Helmet,Sports and travel,13690.508000000002
46,Wooden Wall Frame,Home and lifestyle,3685.9060000000004
47,Eco Canvas Tote Bag,Fashion accessories,3112.887
48,Padded Laptop Sleeve,Electronic accessories,4212.464
49,Moisture Hand Cream,Health and beauty,1750.0310000000002
50,Roasted Almond Snack,Food and beverages,2090.745
51,Advanced Fitness Tracker,Sports and travel,12761.288
52,Art Print Poster,Home and lifestyle,2663.764
53,Pearl Stud Earrings,Fashion accessories,2927.0429999999997
54,High-Speed Portable SSD,Electronic accessories,14774.598000000002
55,Luxury Bath Bomb Set,Health and beauty,3623.958
56,Herbal Tea Collection,Food and beverages,1269.934
57,Aluminum Trekking Poles,Sports and travel,8874.051
58,Warm Fleece Blanket,Home and lifestyle,6210.287
59,Wool Comfort Socks,Fashion accessories,2384.998
60,Smart Home Controller,Electronic accessories,15874.175000000001
